cps19_votechoice,cps19_gender,cps19_age,cps19_province,cps19_education,education_level,gender,Age
ndp,A man,52,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Don't know/ Prefer not to answer,A man,36,Alberta,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,35 to 44
Bloc Québécois,A woman,40,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
ndp,A man,38,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,35 to 44
Conservative Party,A woman,63,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Bloc Québécois,A woman,52,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Conservative Party,A woman,42,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,35 to 44
Liberal Party,A woman,49,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,53,Quebec,Some university,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A man,49,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,45 to 54
People's Party,A man,27,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,25 to 34
Conservative Party,A woman,34,Manitoba,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Liberal Party,A woman,64,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Bloc Québécois,A woman,51,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Bloc Québécois,A woman,38,Quebec,Some secondary/ high school,Other,Female,35 to 44
ndp,A woman,57,Saskatchewan,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Another party (please specify),A woman,59,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Don't know/ Prefer not to answer,A woman,63,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Conservative Party,A woman,57,Alberta,Some university,University certificate or diploma below bachelor level,Female,55 to 64
People's Party,A man,62,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Conservative Party,A man,59,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Conservative Party,A woman,29,Quebec,Some university,University certificate or diploma below bachelor level,Female,25 to 34
Bloc Québécois,A man,64,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
ndp,A woman,27,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A man,57,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Don't know/ Prefer not to answer,A man,25,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,25 to 34
ndp,A man,64,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Don't know/ Prefer not to answer,A woman,32,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
ndp,A woman,25,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A man,32,Manitoba,Some secondary/ high school,Other,Male,25 to 34
Conservative Party,A woman,61,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Liberal Party,A man,33,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,25 to 34
Don't know/ Prefer not to answer,A woman,34,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
Conservative Party,A woman,62,Alberta,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Green Party,A woman,30,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Liberal Party,A man,28,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,25 to 34
Bloc Québécois,A man,26,Quebec,Master's degree,"Highest certificate, diploma or degree",Male,25 to 34
Don't know/ Prefer not to answer,A woman,60,Alberta,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
ndp,A man,30,Alberta,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,25 to 34
Liberal Party,A woman,26,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
ndp,A woman,34,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
ndp,A man,29,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Don't know/ Prefer not to answer,A woman,57,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Liberal Party,A man,62,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Conservative Party,A woman,33,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Conservative Party,A man,60,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Liberal Party,A woman,25,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
Liberal Party,A man,33,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,25 to 34
People's Party,A woman,61,British Columbia,Master's degree,"Highest certificate, diploma or degree",Female,55 to 64
ndp,A woman,30,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Don't know/ Prefer not to answer,A woman,57,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Conservative Party,A man,34,Ontario,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,25 to 34
Conservative Party,A man,33,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,25 to 34
Don't know/ Prefer not to answer,A woman,59,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Green Party,A woman,59,British Columbia,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,55 to 64
Conservative Party,A man,59,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Liberal Party,A woman,29,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Don't know/ Prefer not to answer,A woman,58,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Conservative Party,A woman,28,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,25 to 34
Green Party,A woman,28,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
ndp,A woman,62,Saskatchewan,Some university,University certificate or diploma below bachelor level,Female,55 to 64
Conservative Party,A woman,57,Alberta,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
ndp,A woman,58,Manitoba,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Don't know/ Prefer not to answer,A woman,29,Saskatchewan,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,25 to 34
Green Party,A woman,29,Manitoba,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A man,28,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Green Party,A woman,31,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Liberal Party,A woman,63,British Columbia,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
ndp,A man,29,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,25 to 34
